skaterFullName,playerId,season,y_test,y_pred
Michael McCarron,8477446,20242025,5.0,30.37611
Alex Newhook,8481618,20242025,18.0,30.347504
Taylor Raddysh,8479390,20242025,14.0,30.197
Nick Perbix,8480246,20242025,8.0,30.160019
Dmitry Kulikov,8475179,20242025,0.0,30.077656
Eric Robinson,8480762,20242025,11.0,30.002827
Jack McBain,8480855,20242025,4.0,29.861069
Sam Colangelo,8482118,20242025,2.0,29.854158
Daniil Miromanov,8482624,20242025,0.0,29.826284
Danton Heinen,8478046,20242025,0.0,29.758125
Vasily Podkolzin,8481617,20242025,11.0,29.563475
Peyton Krebs,8481522,20242025,4.0,29.368027
Emil Lilleberg,8482929,20242025,8.0,29.244553
Sam Carrick,8475842,20242025,6.0,29.056452
Alexey Toropchenko,8480281,20242025,3.0,29.047195
Ryan Leonard,8484186,20242025,11.0,29.02933
Paul Cotter,8481032,20242025,4.0,28.923128
Jani Nyman,8483497,20242025,6.0,28.786125
Alex Iafallo,8480113,20242025,12.0,28.670055
Anthony Mantha,8477511,20242025,21.0,28.392553
Gage Goncalves,8482201,20242025,6.0,28.331322
Erik Gudbranson,8475790,20242025,0.0,28.267248
Jake Evans,8478133,20242025,8.0,28.21307
Simon Benoit,8481122,20242025,4.0,28.127935
Collin Graf,8484911,20242025,8.0,28.06159
Colton Sissons,8476925,20242025,1.0,28.036102
Justin Barron,8482111,20242025,8.0,27.853952
Wyatt Kaiser,8482176,20242025,6.0,27.754673
Sam Malinski,8484258,20242025,19.0,27.733154
Philipp Kurashev,8480798,20242025,15.0,27.546637
Uvis Balinskis,8484304,20242025,0.0,27.400944
Luke Schenn,8474568,20242025,2.0,27.38757
Logan Stanley,8479378,20242025,18.0,27.250488
Matthew Robertson,8481525,20242025,3.0,27.06743
Brandon Duhaime,8479520,20242025,7.0,26.88411
Kevin Hayes,8475763,20242025,0.0,26.757536
Brenden Dillon,8475455,20242025,16.0,26.450022
Anthony Duclair,8477407,20242025,9.0,26.39318
Nate Schmidt,8477220,20242025,8.0,26.173944
Nic Dowd,8475343,20242025,6.0,26.15959
Ryan McDonagh,8474151,20242025,15.0,26.149942
Lars Eller,8474189,20242025,8.0,26.115488
Mathieu Olivier,8479671,20242025,11.0,26.057331
Pontus Holmberg,8480995,20242025,6.0,26.05523
Dalibor Dvorsky,8484164,20242025,4.0,26.054354
Ty Emberson,8480834,20242025,7.0,25.977295
