assists,evGoals,evPoints,faceoffWinPct,gameWinningGoals,gamesPlayed,goals,lastName,otGoals,penaltyMinutes,playerId,plusMinus,points,pointsPerGame,positionCode,ppGoals,ppPoints,seasonId,shGoals,shPoints,shootingPct,shootsCatches,shots,skaterFullName,teamAbbrevs,timeOnIcePerGame,season,hat_tricks,fantasy_points,target,season_start_year,height,weight,age,rookie_year,overall_pick
8,8,14,0.42288,0,45,10,White,0,16,8478400,-6,18,0.4,C,2,4,20202021,0,0,0.14492,R,69,Colin White,OTT,881.4666,20202021,0,28,13.0,2020,185.0,88.0,23.0,0.0,21.0
0,0,0,,0,15,0,Siegenthaler,0,4,8478399,-9,0,0.0,D,0,0,20202021,0,0,0.0,L,7,Jonas Siegenthaler,"WSH,NJD",937.0,20202021,0,0,29.0,2020,188.0,99.0,23.0,0.0,57.0
0,0,0,,0,1,0,Middleton,0,2,8478136,-2,0,0.0,D,0,0,20202021,0,0,0.0,L,1,Jake Middleton,SJS,524.0,20202021,0,0,32.0,2020,191.0,99.0,24.0,0.0,210.0
19,7,16,,2,56,7,Provorov,1,28,8478500,4,26,0.46428,D,0,10,20202021,0,0,0.05555,L,126,Ivan Provorov,PHI,1499.9107,20202021,0,59,71.0,2020,185.0,102.0,23.0,0.0,7.0
9,3,11,0.4,1,41,5,DeBrusk,0,6,8478498,1,14,0.34146,L,2,3,20202021,0,0,0.05434,L,92,Jake DeBrusk,BOS,893.6341,20202021,0,19,70.0,2020,185.0,90.0,24.0,0.0,14.0
18,8,22,0.0,2,55,12,Gurianov,0,21,8478495,0,30,0.54545,R,4,8,20202021,0,0,0.0923,L,130,Denis Gurianov,DAL,951.0545,20202021,0,42,42.0,2020,191.0,93.0,23.0,0.0,12.0
11,19,28,0.47079,2,56,19,Eriksson Ek,0,20,8478493,16,30,0.53571,C,0,2,20202021,0,0,0.15966,L,119,Joel Eriksson Ek,MIN,1023.4821,20202021,0,49,78.0,2020,191.0,94.0,23.0,0.0,20.0
6,1,6,,0,46,1,Larsson,0,14,8478491,-9,7,0.15217,D,0,0,20202021,0,1,0.0238,L,42,Jacob Larsson,ANA,1043.4565,20202021,0,15,2.0,2020,188.0,88.0,23.0,0.0,27.0
0,0,0,0.0,0,8,0,Senyshyn,0,2,8478485,-1,0,0.0,R,0,0,20202021,0,0,0.0,R,10,Zach Senyshyn,BOS,606.625,20202021,0,0,0.0,2020,185.0,93.0,23.0,0.0,15.0
10,2,11,0.50123,0,47,3,Evans,0,29,8478133,2,13,0.27659,C,0,0,20202021,1,2,0.05454,R,55,Jake Evans,MTL,710.1063,20202021,0,16,42.0,2020,183.0,86.0,24.0,0.0,207.0
17,8,20,0.29629,2,53,12,Stützle,0,14,8482116,-18,29,0.54716,C,4,9,20202021,0,0,0.1081,L,111,Tim Stützle,OTT,944.3773,20202021,1,44,80.0,2020,183.0,85.0,18.0,1.0,3.0
38,10,31,0.4829,0,55,15,Backstrom,0,14,8473563,0,53,0.96363,C,5,22,20202021,0,0,0.16483,L,91,Nicklas Backstrom,WSH,1115.6909,20202021,0,68,37.0,2020,185.0,92.0,33.0,0.0,4.0
23,16,30,0.25,3,56,20,Kessel,1,12,8473548,-17,43,0.76785,R,4,13,20202021,0,0,0.17391,R,115,Phil Kessel,ARI,1025.3035,20202021,1,66,60.0,2020,180.0,94.0,33.0,0.0,5.0
12,4,14,0.52643,1,53,8,Brassard,0,12,8473544,-10,20,0.37735,C,4,6,20202021,0,0,0.1194,L,67,Derick Brassard,ARI,887.7358,20202021,1,31,27.0,2020,185.0,91.0,33.0,0.0,6.0
22,9,23,0.57987,4,53,16,Staal,1,30,8473533,2,38,0.71698,C,7,14,20202021,0,1,0.15533,L,103,Jordan Staal,CAR,1109.132,20202021,0,54,56.0,2020,193.0,100.0,32.0,0.0,2.0
27,15,32,0.59605,2,54,16,Giroux,0,12,8473512,-4,43,0.79629,R,1,11,20202021,0,0,0.13333,R,120,Claude Giroux,PHI,1086.3333,20202021,0,59,86.0,2020,180.0,84.0,32.0,0.0,22.0
5,3,7,,0,24,3,Drysdale,0,6,8482142,-12,8,0.33333,D,0,1,20202021,0,0,0.10714,R,28,Jamie Drysdale,ANA,1174.9583,20202021,0,19,68.0,2020,180.0,84.0,18.0,1.0,6.0
0,0,0,,0,2,0,Capobianco,0,2,8478476,-2,0,0.0,D,0,0,20202021,0,0,0.0,L,3,Kyle Capobianco,ARI,867.5,20202021,0,0,20.0,2020,191.0,88.0,23.0,0.0,63.0
0,0,0,,0,3,0,Kase,0,0,8478131,0,0,0.0,R,0,0,20202021,0,0,0.0,R,4,Ondrej Kase,BOS,510.3333,20202021,0,0,41.0,2020,183.0,85.0,25.0,0.0,205.0
